"Pais","gastosocial","Estabilidad Política","Electoral","Politcial Participation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","Desem","HDI","POB"
"Afghanistan",27.03,-2.74673,3.42,3.89,2.5,3.82,8.59822404828423,19.174225458679,2.66529204636834,0.08207892887539,-1.46387493610382,-1.12055540084839,-1.40107560157776,0.4643,11.387,0.496,54.5
"Albania",29.27,0.3821,7,4.44,5,7.65,53.2947888187206,24.576503298636,3.80219748796804,3.89771066605221,-0.0613308995962143,0.274379819631577,-0.528757572174072,0.8452,17.08,0.791,14.3
"Algeria",38.14,-0.7937849,3.08,5,5,4.12,NA,NA,NA,NA,-0.516174554824829,-1.3033789396286,-0.621849775314331,0.1548,11.206,0.759,5.5
"Angola",19.7,-0.3190349,2.25,5.56,5,2.94,7.44548235547345,23.2423144977915,-0.147207419438828,-3.40990330802828,-1.11714375019073,-0.893871366977692,-1.05468332767487,0.4524,7.282,0.574,36.6
"Argentina",38.9,0.0199319,9.17,6.11,6.25,8.24,30.2522655088489,15.045281422103,2.66859037935303,1.60928234377617,-0.0864858850836754,-0.492752581834793,-0.0710713565349579,0.8571,7.75,0.83,25.7
"Armenia",23.48,-0.4187803,7.5,6.11,3.13,5.59,38.4683261774136,17.6483759985837,7.49999999999989,7.18375792793341,-0.0668173730373383,0.249515324831009,-0.184168338775635,0.75,18.261,0.76,25.7
"Australia",36.66,0.9765741,10,7.78,8.75,10,20.6509519368249,23.9555189390954,2.36761725296472,0.657653883814675,1.57189607620239,1.87353944778442,1.81110715866089,0.9643,NA,NA,NA
"Austria",48.2,0.9175232,9.58,8.33,6.88,8.82,27.1672945656907,23.5286754693417,2.47644392123686,1.76708743764632,1.49091148376465,1.45911550521851,1.54542887210846,0.9762,NA,NA,NA
"Azerbaijan",33.15,-0.6967331,0.5,2.78,3.75,3.53,19.4896155903954,23.8172078171339,0.153614646686307,-0.824348483223929,-0.139176815748215,-0.226641282439232,-0.868407249450684,0.6905,4.96,0.754,6
"Bangladesh",14.3,-1.03248,7.83,6.11,4.38,5,NA,NA,NA,NA,-0.739230096340179,-0.928954303264618,-0.993809640407562,0.5714,4.378,0.614,24.3
"Belarus",37.47,0.3535319,0.92,2.78,4.38,2.35,26.0200333775829,26.1579866134837,2.53218350023035,2.56748260752468,-0.18333275616169,-0.543780624866486,-0.0595389828085899,0.75,5.914,0.817,5.9
"Belgium",52.2,0.412356,9.58,5,6.88,8.53,26.0744116729629,23.1339327638609,1.90386213925837,1.51205507033478,1.03222703933716,1.29099905490875,1.55196058750153,0.6548,NA,NA,NA
"Benin",16.55,-0.132421,4.67,4.44,5.63,5,NA,NA,NA,NA,-0.440651714801788,-0.375964671373367,-0.323763877153397,0.5476,2.582,0.52,40.1
"Bhutan",31.95,1.104605,8.75,2.78,4.38,3.82,20.6148058374994,52.0927507635695,4.65183467529606,3.40833897351105,0.313765197992325,-0.326656669378281,1.61791908740997,0.631,2.45,0.617,8.2
"Bolivia",38.6,-0.2428411,4.75,5,3.75,6.76,NA,NA,NA,NA,-0.699217975139618,-0.993406176567078,-0.742189347743988,0.5952,3.066,0.703,36.4
"Bosnia and Herzegovina",41.04,-0.3923242,6.17,5.56,3.75,5.88,43.5538656210137,18.0161853060965,2.11846162295903,3.17696282458493,-0.634277045726776,-0.194002315402031,-0.613145172595978,0.6071,27.694,0.769,16.9
"Brazil",38.49,-0.3570176,9.58,6.11,5,8.24,20.7227827743927,14.5637633540164,1.32286905404399,0.508336053889494,-0.186737954616547,-0.177793994545937,-0.333998471498489,0.9048,8.427,0.761,26.5
"Bulgaria",36.3,0.4196386,9.17,7.22,4.38,7.94,44.5251031263334,18.3709080962649,3.50660477401181,4.2654297231885,0.339000254869461,0.53167861700058,-0.155190214514732,0.8929,9.143,0.816,23.4
"Burkina Faso",27.24,-1.040907,3.92,4.44,5,4.12,43.1114577875173,22.5573194807994,6.15710463017187,3.13219459055234,-0.758510887622833,-0.376492023468018,-0.188656166195869,0.5119,6.418,0.434,40.1
"Burundi",27.18,-1.597951,0,3.33,5,2.35,NA,NA,NA,NA,-1.32632160186768,-0.949538886547089,-1.45846974849701,0.3333,1.552,0.423,64.9
"Cambodia",24.62,0.108229,0.83,3.33,5.63,3.24,45.7711187590247,21.8977204773553,6.82908244842493,5.20676239636408,-0.579185724258423,-0.56883442401886,-1.30240082740784,0.4167,0.393,0.581,17.7
