"Pais","EstabilidadPolÃ­tica","Electoral","PoliticalparticiÂ­pation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","gastosocial","Desem","HDI","POB"
"Afghanistan",-2.74673,3.42,3.89,2.5,3.82,8.59822404828423,19.174225458679,2.66529204636834,0.08207892887539,-1.46387493610382,-1.12055540084839,-1.40107560157776,0.4643,27.03,11.387,0.496,54.5
"Albania",0.3821,7,4.44,5,7.65,53.2947888187206,24.576503298636,3.80219748796804,3.89771066605221,-0.0613308995962143,0.274379819631577,-0.528757572174072,0.8452,29.27,17.08,0.791,14.3
"Angola",-0.3190349,2.25,5.56,5,2.94,7.44548235547345,23.2423144977915,-0.147207419438828,-3.40990330802828,-1.11714375019073,-0.893871366977692,-1.05468332767487,0.4524,19.7,7.282,0.574,36.6
"Argentina",0.0199319,9.17,6.11,6.25,8.24,30.2522655088489,15.045281422103,2.66859037935303,1.60928234377617,-0.0864858850836754,-0.492752581834793,-0.0710713565349579,0.8571,38.9,7.75,0.83,25.7
"Armenia",-0.4187803,7.5,6.11,3.13,5.59,38.4683261774136,17.6483759985837,7.49999999999989,7.18375792793341,-0.0668173730373383,0.249515324831009,-0.184168338775635,0.75,23.48,18.261,0.76,25.7
"Azerbaijan",-0.6967331,0.5,2.78,3.75,3.53,19.4896155903954,23.8172078171339,0.153614646686307,-0.824348483223929,-0.139176815748215,-0.226641282439232,-0.868407249450684,0.6905,33.15,4.96,0.754,6
"Belarus",0.3535319,0.92,2.78,4.38,2.35,26.0200333775829,26.1579866134837,2.53218350023035,2.56748260752468,-0.18333275616169,-0.543780624866486,-0.0595389828085899,0.75,37.47,5.914,0.817,5.9
"Bhutan",1.104605,8.75,2.78,4.38,3.82,20.6148058374994,52.0927507635695,4.65183467529606,3.40833897351105,0.313765197992325,-0.326656669378281,1.61791908740997,0.631,31.95,2.45,0.617,8.2
"Bosnia and Herzegovina",-0.3923242,6.17,5.56,3.75,5.88,43.5538656210137,18.0161853060965,2.11846162295903,3.17696282458493,-0.634277045726776,-0.194002315402031,-0.613145172595978,0.6071,41.04,27.694,0.769,16.9
"Botswana",0.9791562,9.17,6.11,7.5,9.12,14.5249647865553,29.1131759966226,2.90400634981967,0.795459987472327,0.429047971963882,0.370096385478973,0.707815587520599,0.369,31.23,17.747,0.728,19.3
"Brazil",-0.3570176,9.58,6.11,5,8.24,20.7227827743927,14.5637633540164,1.32286905404399,0.508336053889494,-0.186737954616547,-0.177793994545937,-0.333998471498489,0.9048,38.49,8.427,0.761,26.5
"Bulgaria",0.4196386,9.17,7.22,4.38,7.94,44.5251031263334,18.3709080962649,3.50660477401181,4.2654297231885,0.339000254869461,0.53167861700058,-0.155190214514732,0.8929,36.3,9.143,0.816,23.4
"Burkina Faso",-1.040907,3.92,4.44,5,4.12,43.1114577875173,22.5573194807994,6.15710463017187,3.13219459055234,-0.758510887622833,-0.376492023468018,-0.188656166195869,0.5119,27.24,6.418,0.434,40.1
