"País","Impuestos","Inversión","Variación","PBIpc"
"Afghanistan",8.59822404828423,19.174225458679,2.66529204636834,0.08207892887539
"Albania",53.2947888187206,24.576503298636,3.80219748796804,3.89771066605221
"Angola",7.44548235547345,23.2423144977915,-0.147207419438828,-3.40990330802828
"Argentina",30.2522655088489,15.045281422103,2.66859037935303,1.60928234377617
"Armenia",38.4683261774136,17.6483759985837,7.49999999999989,7.18375792793341
"Australia",20.6509519368249,23.9555189390954,2.36761725296472,0.657653883814675
"Austria",27.1672945656907,23.5286754693417,2.47644392123686,1.76708743764632
"Azerbaijan",19.4896155903954,23.8172078171339,0.153614646686307,-0.824348483223929
"Bahamas, The",43.0329062225229,26.3085988938636,0.0666644634030007,-0.93724983086706
"Belarus",26.0200333775829,26.1579866134837,2.53218350023035,2.56748260752468
"Belgium",26.0744116729629,23.1339327638609,1.90386213925837,1.51205507033478
"Belize",48.0721671120014,18.6929979309594,1.86649911295092,-0.131148995230816
"Bhutan",20.6148058374994,52.0927507635695,4.65183467529606,3.40833897351105
"Bosnia and Herzegovina",43.5538656210137,18.0161853060965,2.11846162295903,3.17696282458493
"Botswana",14.5249647865553,29.1131759966226,2.90400634981967,0.795459987472327
"Brazil",20.7227827743927,14.5637633540164,1.32286905404399,0.508336053889494
"Bulgaria",44.5251031263334,18.3709080962649,3.50660477401181,4.2654297231885
"Burkina Faso",43.1114577875173,22.5573194807994,6.15710463017187,3.13219459055234
"Cambodia",45.7711187590247,21.8977204773553,6.82908244842493,5.20676239636408
"Cameroon",41.0902267595331,22.9734337191834,3.54908731821561,0.853486026492732
"Chile",50.1323943871787,21.0181228972543,1.18857258229856,-0.243323996034391
"China",32.8767194814443,41.8611877410578,6.94620009249279,6.34990962208937
"Colombia",25.5948374189759,21.7227919184852,1.35936086788746,-0.153066085789078
"Congo, Rep.",24.8565586994749,21.4618524594007,-1.80100122457118,-4.29316467651368
"Costa Rica",30.3847886896201,17.2509054164613,3.86019845392708,2.7983177205799
"Cote d'Ivoire",36.464960953038,20.1219261819642,7.35963718400244,4.65887166049215
"Croatia",46.8273890503588,20.0108616746628,3.13913464000225,4.38489698473809
"Cyprus",36.7273503540483,21.1127603931716,4.36123796615959,3.3949920405493
"Czech Republic",30.5136255808505,24.7713861779058,4.3526035198277,4.07576634597022
"Denmark",35.9476665426648,21.1914043445611,2.036165206055,1.3818217343226
"Dominican Republic",49.1059331678895,23.7302591559707,4.66670467732366,3.51792400301198
"El Salvador",39.0163626266666,16.0288159748911,2.24994225188968,1.73807806030517
"Equatorial Guinea",6.1052197807501,13.9565530197219,-5.66750295652729,-9.16737037071277
"Estonia",38.1404161339068,24.8113018096761,5.74880209154125,5.62084882162608
"Ethiopia",33.2564096068506,38.443986368294,9.56418964295607,6.68450254520796
"Euro area",33.0082728103506,20.368344726276,2.5396198442555,2.33468583263208
"Finland",38.5733078919611,23.2407708417539,3.10038358627367,2.85872103422278
"France",22.6808450825209,22.4958450176342,2.29141998537759,2.07682247990388
"Gabon",14.8770918049239,21.4118164978258,0.479762270647498,-2.29157573813745
"Georgia",57.1623437227572,25.4921298476998,4.84260322496586,4.82856985509574
"Germany",21.9410240586967,20.5205254869815,2.46503002917808,2.08280772084919
"Ghana",33.6188416100701,20.5795459901747,8.14344654879852,5.76855148755246
"Greece",33.0082728103506,12.8971755236156,1.50509933940322,1.70605806398576
"Guatemala",53.9497732138322,13.6116529077485,3.02343068680067,1.36013893883829
"Guinea-Bissau",23.7306596962583,8.93159183271927,5.9191766258605,3.27088724175688
"Hungary",36.6280934243768,22.2261307589829,4.32280900057566,4.60053160751239
"Iceland",29.2213229137594,21.9905649541908,4.54598289368673,2.12230621978853
"India",31.5357591365031,28.0679230856293,7.04382085538124,5.91239788601601
"Indonesia",38.1116436734931,32.1606388642645,5.06978590134916,3.84233415747524
"Ireland",31.9630196207383,31.3869696649669,8.14529615601917,6.97433032159738
"Israel",32.2998770603603,20.7921508588522,3.53670318805928,1.54874335156077
"Italy",24.3452632304656,17.4807761497111,1.66785904106857,1.82033385192226
"Jamaica",49.2934647716335,22.1374412435623,1.0033653175016,0.497977273627015
"Japan",36.0780907031458,23.7941781734077,2.16829073735609,2.33647954980609
"Jordan",40.3140656143942,19.3022608105981,2.1157328887228,-0.262010615064241
"Kazakhstan",19.6336289375951,21.6975502563792,4.10000000033857,2.69343213409594
