"country","gastosocial"
"United States",35.14
"United Kingdom",41
"Germany",45.4
"France",55.6
"Japan",37.42
"Spain",41.9
"Italy",48.7
"Portugal",42.7
"Greece",46.3
"Ireland",24.8
"United Arab Emirates",30.57
"Afghanistan",27.03
"Antigua and Barbuda",24.91
"Albania",29.27
"Armenia",23.48
"Angola",19.7
"Argentina",38.9
"Austria",48.2
"Australia",36.66
"Azerbaijan",33.15
"Bosnia and Herzegovina",41.04
"Barbados",29.58
"Bangladesh",14.3
"Belgium",52.2
"Burkina Faso",27.24
"Bulgaria",36.3
"Bahrain",33.71
"Burundi",27.18
"Benin",16.55
"Brunei",32.16
"Bolivia",38.6
"Brazil",38.49
"Bahamas",20
"Bhutan",31.95
"Botswana",31.23
"Belarus",37.47
"Belize",31.32
"Canada",40.66
"Democratic Republic of the Congo",11.16
"Central African Republic",16.27
"Republic of the Congo",22.56
"Switzerland",33.7
"Ivory Coast",23.83
"Chile",25.36
"Cameroon",19.83
"China",34.09
"Colombia",28.1
"Costa Rica",19.69
"Cape Verde",31.03
"Cyprus",39.5
"Czech Republic",41.9
"Djibouti",26.72
"Denmark",49.6
"Dominica",57.8
"Dominican Republic",16.49
"Algeria",38.14
"Ecuador",37.05
"Estonia",39
"Egypt",30.11
"Eritrea",27.07
"Ethiopia",16.08
"Finland",53.3
"Fiji",32.64
"Federated States of Micronesia",69.09
"Gabon",17.09
"Grenada",22.03
"Georgia",29.72
"Ghana",21.45
"The Gambia",21.63
"Guinea",15.71
"Equatorial Guinea",19.88
"Guatemala",12.33
"Guinea-Bissau",21.2
"Guyana",34.34
"Hong Kong",18.33
"Honduras",26.49
"Croatia",47.1
"Haiti",19.26
"Hungary",46.1
"Indonesia",16.64
"Israel",38.76
"India",26.18
"Iraq",34.65
"Iran",18.24
"Iceland",41.9
"Jamaica",29.44
"Jordan",30.9
"Kenya",25.47
"Kyrgyzstan",34.11
"Cambodia",24.62
"Kiribati",110.75
"Comoros",16.37
"Saint Kitts and Nevis",33.45
"South Korea",19.64
"Kuwait",51.88
"Kazakhstan",19.54
"Laos",21.56
"Lebanon",30.36
"Saint Lucia",25.04
"Sri Lanka",18.64
"Liberia",32.43
"Lesotho",46.54
"Lithuania",34.9
"Luxembourg",42.6
"Latvia",38.9
"Libya",86.85
"Morocco",29.76
"Moldova",31.56
"Montenegro",47.69
"Madagascar",16.33
"Marshall Islands",65.53
"North Macedonia",30.29
"Mali",20.19
"Burma - Myanmar",20.38
"Mongolia",28.74
"Mauritania",28.13
"Malta",37.7
"Mauritius",24.77
"Maldives",31
"Malawi",29.14
"Mexico",25.67
"Malaysia",22.7
"Mozambique",31.16
"Namibia",34.02
"Niger",26.81
"Nigeria",13.04
"Nicaragua",27.3
"Netherlands",41.9
"Norway",51.8
"Nepal",31.92
"Nauru",100.46
"New Zealand",36.67
"Oman",45.39
"Panama",21.73
"Peru",21.41
"Papua New Guinea",22.88
"Philippines",21.77
"Pakistan",21.63
"Poland",42
"Palau",38.18
"Paraguay",19.03
"Qatar",29.6
"Romania",36
"Serbia",40.8
"Russia",32.62
"Rwanda",26.73
"Saudi Arabia",36.58
"Solomon Islands",47.54
"Seychelles",37.39
"Sudan",15.13
"Sweden",49.3
"Singapore",14.62
"Slovenia",43.7
"Slovakia",42.8
"Sierra Leone",21.52
"San Marino",25.7
"Senegal",22.21
"Suriname",32.28
"South Sudan",32.75
"Sao Tome and Principe",25.6
"El Salvador",24.1
"Syria",26.74
"Swaziland",35.24
"Chad",14.88
"Togo",24.67
"Thailand",21.6
"Tajikistan",35.63
"Timor-Leste",55.14
"Turkmenistan",17.77
"Tunisia",28.88
"Tonga",40.02
"Turkey",34.61
"Trinidad and Tobago",31.27
"Tuvalu",111.04
"Taiwan",17.87
"Tanzania",16.52
"Ukraine",41.74
"Uganda",20.12
"Uruguay",33.21
"Uzbekistan",25.65
"Saint Vincent and the Grenadines",30.27
"Venezuela",36.57
"Vietnam",29.22
"Vanuatu",35.72
"Samoa",34.19
"Yemen",9.14
"South Africa",33.44
"Zambia",25.19
"Zimbabwe",22.48
